chip,dtype,profile,n,d,g,o,repeat,fit_s,admm_iters,nll,max_kkt,status
NVIDIA GeForce GTX 1080 Ti,float64,rbf,64,6,13,78,11,7.632,6,-23113.908359272136,14461.234075659284,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,64,6,13,78,10,5.614,7,-22952.361711283993,17337.731555118426,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,256,6,13,78,8,20.924,8,-109232.578125,71322.1015625,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,64,6,13,78,11,5.623,7,-22952.361711283993,17337.731555118426,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,256,6,13,78,6,19.08,9,-110756.765625,120746.8828125,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,128,6,13,78,2,23.86,7,-51260.22420149132,49049.47572013517,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,256,6,13,78,5,131.611,11,-112099.34144255417,93436.31903486467,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,128,6,13,78,2,36.137,8,-51108.37430387604,22862.094598202435,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,256,6,13,78,9,20.914,8,-109232.578125,71322.1015625,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,256,6,13,78,7,19.067,9,-110756.765625,120746.8828125,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,128,6,13,78,3,23.889,7,-51260.22420149132,49049.47572013517,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,256,6,13,78,10,20.951,8,-109232.578125,71322.1015625,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,256,6,13,78,8,19.065,9,-110756.765625,120746.8828125,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,128,6,13,78,3,36.188,8,-51108.37430387604,22862.094598202435,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,512,6,13,78,2,60.317,6,-236872.71875,204580.109375,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,128,6,13,78,4,23.863,7,-51260.22420149132,49049.47572013517,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,256,6,13,78,11,20.96,8,-109232.578125,71322.1015625,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,256,6,13,78,9,19.077,9,-110756.765625,120746.8828125,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,512,6,13,78,1,131.001,21,-233850.3125,126177.203125,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,128,6,13,78,5,23.887,7,-51260.22420149132,49049.47572013517,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,256,6,13,78,10,19.098,9,-110756.765625,120746.8828125,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,128,6,13,78,4,36.246,8,-51108.37430387604,22862.094598202435,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,256,6,13,78,11,19.111,9,-110756.765625,120746.8828125,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,256,6,13,78,0,185.448,9,-112099.32956461192,77313.87061181809,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,128,6,13,78,6,23.856,7,-51260.22420149132,49049.47572013517,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,512,6,13,78,3,59.409,6,-236872.71875,204580.109375,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,128,6,13,78,5,36.295,8,-51108.37430387604,22862.094598202435,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,128,6,13,78,7,23.878,7,-51260.22420149132,49049.47572013517,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,512,6,13,78,0,895.887,10,-241080.97642445882,182776.32078346223,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,256,6,13,78,6,131.614,11,-112099.34144255417,93436.31903486467,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,128,6,13,78,8,23.868,7,-51260.22420149132,49049.47572013517,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,128,6,13,78,6,36.227,8,-51108.37430387604,22862.094598202435,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,512,6,13,78,4,59.016,6,-236872.71875,204580.109375,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,128,6,13,78,9,23.873,7,-51260.22420149132,49049.47572013517,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,128,6,13,78,7,36.219,8,-51108.37430387604,22862.094598202435,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,128,6,13,78,10,23.865,7,-51260.22420149132,49049.47572013517,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,512,6,13,78,2,132.874,21,-233850.3125,126177.203125,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,4096,6,13,78,0,,,,,JaxRuntimeError
NVIDIA GeForce GTX 1080 Ti,float64,matern52,128,6,13,78,11,23.87,7,-51260.22420149132,49049.47572013517,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,128,6,13,78,8,36.217,8,-51108.37430387604,22862.094598202435,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,512,6,13,78,5,59.539,6,-236872.71875,204580.109375,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,128,6,13,78,9,36.218,8,-51108.37430387604,22862.094598202435,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,256,6,13,78,1,166.688,9,-112099.32956461192,77313.87061181809,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,256,6,13,78,7,131.623,11,-112099.34144255417,93436.31903486467,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,4096,6,13,78,0,,,,,JaxRuntimeError
NVIDIA GeForce GTX 1080 Ti,float32,matern52,512,6,13,78,6,59.525,6,-236872.71875,204580.109375,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,128,6,13,78,10,36.255,8,-51108.37430387604,22862.094598202435,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,512,6,13,78,3,130.681,21,-233850.3125,126177.203125,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,128,6,13,78,11,36.263,8,-51108.37430387604,22862.094598202435,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,512,6,13,78,7,59.527,6,-236872.71875,204580.109375,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,2048,6,13,78,0,,,,,JaxRuntimeError
NVIDIA GeForce GTX 1080 Ti,float32,matern52,1024,6,13,78,0,505.858,7,-508951.125,226509.875,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,2048,6,13,78,0,,,,,JaxRuntimeError
NVIDIA GeForce RTX 2080 Ti,float64,matern52,256,6,13,78,8,131.618,11,-112099.34144255417,93436.31903486467,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,512,6,13,78,8,59.528,6,-236872.71875,204580.109375,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,256,6,13,78,2,166.768,9,-112099.32956461192,77313.87061181809,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,512,6,13,78,4,129.523,21,-233850.3125,126177.203125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,512,6,13,78,9,59.523,6,-236872.71875,204580.109375,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,512,6,13,78,10,59.523,6,-236872.71875,204580.109375,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,512,6,13,78,0,1576.883,14,-237259.41267645627,77183.55828875802,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,512,6,13,78,11,59.524,6,-236872.71875,204580.109375,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,512,6,13,78,5,130.717,21,-233850.3125,126177.203125,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,256,6,13,78,3,166.87,9,-112099.32956461192,77313.87061181809,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,512,6,13,78,6,130.636,21,-233850.3125,126177.203125,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,256,6,13,78,4,166.838,9,-112099.32956461192,77313.87061181809,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,256,6,13,78,0,916.991,15,-110816.81039795492,41360.048432028176,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,1024,6,13,78,1,477.393,7,-508951.125,226509.875,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,512,6,13,78,7,130.589,21,-233850.3125,126177.203125,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,256,6,13,78,5,166.796,9,-112099.32956461192,77313.87061181809,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,512,6,13,78,8,130.45,21,-233850.3125,126177.203125,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,512,6,13,78,0,1085.536,13,-241019.6055691242,119109.50204055934,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,256,6,13,78,6,166.844,9,-112099.32956461192,77313.87061181809,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,1024,6,13,78,0,1469.297,18,-497341.125,164725.984375,ok
