chip,dtype,profile,n,d,g,o,repeat,fit_s,admm_iters,nll,max_kkt,status
NVIDIA GeForce RTX 2080 Ti,float64,matern52,16,6,13,78,6,1.23,4,-3963.944038906524,4212.708604522248,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,16,6,13,78,7,1.231,4,-3963.944038906524,4212.708604522248,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,16,6,13,78,8,1.23,4,-3963.944038906524,4212.708604522248,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,256,6,13,78,10,20.781,9,-109367.34375,84257.7109375,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,16,6,13,78,9,1.231,4,-3963.944038906524,4212.708604522248,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,16,6,13,78,10,1.229,4,-3963.944038906524,4212.708604522248,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,256,6,13,78,8,24.033,6,-110333.328125,121678.453125,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,16,6,13,78,11,1.231,4,-3963.944038906524,4212.708604522248,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,512,6,13,78,1,109.354,7,-233319.71875,111084.5625,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,512,6,13,78,2,74.346,7,-238059.671875,220637.296875,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,256,6,13,78,11,20.781,9,-109367.34375,84257.7109375,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,256,6,13,78,9,24.039,6,-110333.328125,121678.453125,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,128,6,13,78,4,32.526,11,-51109.55675219574,26200.415282127262,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,256,6,13,78,10,24.043,6,-110333.328125,121678.453125,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,32,6,13,78,0,15.391,5,-9861.686553995154,4476.680475837144,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,32,6,13,78,1,1.612,5,-9861.686553995154,4476.680475837144,ok
